Town,zipcode,population,SVI_overall_quartile,SVI_SES_quartile,priority_change
Weston,02493,12067,2,1,Overall gives higher priority
Lawrence,01840,12057,4,4,No Change
Winchendon,01475,11958,3,3,No Change
Spencer,01562,11913,2,3,SES gives higher priority
Norfolk,02056,11748,1,1,No Change
Wrentham,02093,11734,1,1,No Change
Dudley,01571,11682,2,3,SES gives higher priority
Carver,02330,11661,2,3,SES gives higher priority
Adams,01220,11344,3,3,No Change
Groton,01450,11301,1,1,No Change
Leicester,01524,11286,2,3,SES gives higher priority
Lunenburg,01462,11271,2,2,No Change
Yarmouth,02675,11225,1,1,No Change
Orleans,02653,11141,2,2,No Change
Lincoln,01773,11127,1,1,No Change
Nantucket,02554,11101,2,2,No Change
Templeton,01436,11098,3,3,No Change
Holbrook,02343,11036,2,2,No Change
Dennis,02639,10799,3,3,No Change
Maynard,01754,10600,1,1,No Change
Hull,02045,10424,1,2,SES gives higher priority
Chester,01011,10276,2,2,No Change
Williamstown,01267,10225,2,3,SES gives higher priority
Bourne,02542,10217,2,2,No Change
Dalton,01226,10192,2,2,No Change
Deerfield,01373,10138,2,2,No Change
Southborough,01772,10074,1,1,No Change
Great Barrington,01236,9987,3,3,No Change
Littleton,01460,9935,1,1,No Change
Middleton,01949,9779,3,2,Overall gives higher priority
Southwick,01077,9727,2,2,No Change
Springfield,01151,9634,4,4,No Change
Paxton,01612,9576,1,1,No Change
Sturbridge,01518,9537,2,1,Overall gives higher priority
Sturbridge,01566,9537,2,1,Overall gives higher priority
Bedford,01731,9517,2,1,Overall gives higher priority
Townsend,01469,9455,1,2,SES gives higher priority
Townsend,01474,9455,1,2,SES gives higher priority
Newton,02464,9396,2,1,Overall gives higher priority
Sutton,01590,9385,1,1,No Change
Bourne,02559,9301,2,1,Overall gives higher priority
Freetown,02717,9251,2,2,No Change
Blackstone,01504,9246,2,2,No Change
Salisbury,01952,9209,3,3,No Change
Huntington,01050,9154,2,3,SES gives higher priority
Plainville,02762,9088,2,1,Overall gives higher priority
Springfield,01103,9046,4,4,No Change
Springfield,01128,8991,3,3,No Change
West Brookfield,01585,8985,2,2,No Change
Lee,01238,8925,3,3,No Change
Newton,02462,8731,2,1,Overall gives higher priority
Georgetown,01833,8649,1,1,No Change
Williamsburg,01039,8618,2,2,No Change
Rutland,01543,8586,1,1,No Change
Cohasset,02025,8449,1,1,No Change
Dennis,02660,8440,2,3,SES gives higher priority
Montague,01376,8334,3,3,No Change
Charlemont,01339,8301,3,3,No Change
Boxford,01921,8270,1,1,No Change
Millis,02054,8202,1,1,No Change
Templeton,01438,8127,3,3,No Change
Templeton,01468,8127,3,3,No Change
Ayer,01432,8055,2,2,No Change
Sterling,01564,8052,1,1,No Change
Lancaster,01523,8043,2,3,SES gives higher priority
Lancaster,01561,8043,2,3,SES gives higher priority
Bourne,02562,8035,1,2,SES gives higher priority
Hamilton,01982,8020,2,1,Overall gives higher priority
Oxford,01537,7914,3,3,No Change
Falmouth,02543,7848,1,1,No Change
Upton,01568,7835,1,2,SES gives higher priority
Halifax,02338,7824,1,2,SES gives higher priority
Barnstable,02672,7799,2,2,No Change
Montague,01349,7797,3,3,No Change
Lee,01260,7720,3,3,No Change
Barnstable,02630,7707,2,2,No Change
NA,02861,7704,3,3,No Change
Westminster,01473,7665,1,2,SES gives higher priority
Shirley,01464,7598,3,3,No Change
Dighton,02764,7571,2,2,No Change
Harwich,02646,7470,2,2,No Change
NA,01525,7341,1,2,SES gives higher priority
Petersham,01366,7294,3,3,No Change
Rockport,01966,7212,1,2,SES gives higher priority
Wellfleet,02667,7197,2,3,SES gives higher priority
West Bridgewater,02379,7165,2,2,No Change
Blandford,01008,7129,2,3,SES gives higher priority
Granville,01034,7129,2,3,SES gives higher priority
Russell,01071,7129,2,3,SES gives higher priority
NA,01097,7129,2,3,SES gives higher priority
Stow,01775,7098,1,1,No Change
Royalston,01368,7075,3,4,SES gives higher priority
Newbury,01922,7031,1,2,SES gives higher priority
Newbury,01951,7031,1,2,SES gives higher priority
Harwich,02671,7009,3,3,No Change
Scituate,02047,6964,1,1,No Change
Walpole,02032,6865,1,1,No Change
Merrimac,01860,6839,2,2,No Change
Acton,01718,6798,3,1,Overall gives higher priority
NA,02366,6789,2,2,No Change
Somerset,02725,6770,3,3,No Change
Groveland,01834,6749,1,1,No Change
Berkley,02779,6679,1,1,No Change
Harvard,01451,6570,1,2,SES gives higher priority
NA,01467,6570,1,2,SES gives higher priority
Topsfield,01983,6551,2,2,No Change
Sandwich,02644,6491,1,1,No Change
Granby,01033,6333,1,2,SES gives higher priority
Rowley,01969,6298,1,1,No Change
Mattapoisett,02739,6294,1,1,No Change
Chatham,02633,6155,1,2,SES gives higher priority
Southampton,01073,6140,1,2,SES gives higher priority
Allston Brighton,02163,6100,3,3,No Change
Dover,02030,5987,1,1,No Change
Hinsdale,01235,5969,1,2,SES gives higher priority
Hopedale,01747,5951,2,2,No Change
Boxborough,01719,5794,1,2,SES gives higher priority
NA,02203,5555,4,3,Overall gives higher priority
Barre,01005,5539,2,3,SES gives higher priority
Barre,01074,5539,2,3,SES gives higher priority
Rochester,02770,5527,2,2,No Change
Lanesborough,01237,5466,2,2,No Change
Dennis,02638,5449,2,2,No Change
Easton,02357,5390,2,2,No Change
Manchester,01944,5370,1,1,No Change
Hadley,01035,5310,2,1,Overall gives higher priority
Bolton,01740,5236,1,1,No Change
Warren,01083,5210,2,2,No Change
Warren,01092,5210,2,2,No Change
Wenham,01984,5208,1,1,No Change
Hampden,01036,5191,2,3,SES gives higher priority
Carlisle,01741,5186,1,1,No Change
Marion,02738,5100,2,2,No Change
Whately,01093,5092,2,2,No Change
Sunderland,01375,5092,2,2,No Change
NA,02457,5083,2,1,Overall gives higher priority
West Stockbridge,01266,5058,2,2,No Change
Deerfield,01342,5046,2,2,No Change
Lenox,01242,4979,3,2,Overall gives higher priority
Bourne,02561,4977,1,2,SES gives higher priority
Bourne,02553,4970,1,1,No Change
Freetown,02702,4963,1,2,SES gives higher priority
Monterey,01245,4909,2,2,No Change
Eastham,02642,4893,1,2,SES gives higher priority
Williamsburg,01096,4881,2,2,No Change
Leverett,01054,4820,2,2,No Change
Shutesbury,01072,4820,2,2,No Change
New Salem,01355,4820,2,2,No Change
Barnstable,02637,4788,1,1,No Change
North Brookfield,01535,4764,2,3,SES gives higher priority
Oak Bluffs,02557,4686,2,1,Overall gives higher priority
Wales,01081,4656,2,3,SES gives higher priority
Holland,01521,4656,2,3,SES gives higher priority
Hubbardston,01452,4642,1,2,SES gives higher priority
Grafton,01560,4597,2,2,No Change
Boylston,01505,4581,1,1,No Change
West Newbury,01985,4581,1,2,SES gives higher priority
Barnstable,02635,4560,1,2,SES gives higher priority
Southborough,01745,4558,1,1,No Change
Leicester,01611,4525,2,2,No Change
Colrain,01340,4511,3,3,No Change
Heath,01346,4511,3,3,No Change
Monroe,01350,4511,3,3,No Change
Rowe,01367,4511,3,3,No Change
Avon,02322,4482,3,3,No Change
Montague,01347,4372,3,3,No Change
Montague,01351,4372,3,3,No Change
Bernardston,01337,4351,3,2,Overall gives higher priority
Gill,01354,4351,3,2,Overall gives higher priority
Bourne,02534,4331,2,1,Overall gives higher priority
Hardwick,01031,4323,3,3,No Change
Hardwick,01037,4323,3,3,No Change
Hardwick,01094,4323,3,3,No Change
New Braintree,01531,4323,3,3,No Change
Edgartown,02539,4306,1,2,SES gives higher priority
Sherborn,01770,4301,1,1,No Change
NA,01937,4283,3,2,Overall gives higher priority
Chilmark,02535,4218,1,1,No Change
West Tisbury,02575,4218,1,1,No Change
Gosnold,02713,4218,1,1,No Change
Falmouth,02556,4047,1,1,No Change
Wareham,02558,4023,2,3,SES gives higher priority
Buckland,01338,3790,3,3,No Change
NA,01199,3766,4,4,No Change
Brimfield,01010,3739,2,3,SES gives higher priority
Essex,01929,3713,1,1,No Change
Barnstable,02647,3657,4,3,Overall gives higher priority
Palmer,01080,3607,4,4,No Change
Northampton,01053,3602,3,3,No Change
Richmond,01254,3599,2,1,Overall gives higher priority
Goshen,01032,3526,2,2,No Change
Nahant,01908,3495,1,1,No Change
Wellfleet,02663,3481,3,3,No Change
Princeton,01541,3443,1,1,No Change
Brookfield,01506,3431,2,3,SES gives higher priority
Erving,01344,3425,3,3,No Change
Warwick,01378,3425,3,3,No Change
Wendell,01379,3425,3,3,No Change
Ashfield,01330,3419,1,1,No Change
Conway,01341,3419,1,1,No Change
Dunstable,01827,3345,1,1,No Change
Hatfield,01038,3292,2,1,Overall gives higher priority
Hatfield,01066,3292,2,1,Overall gives higher priority
Hatfield,01088,3292,2,1,Overall gives higher priority
Millville,01529,3242,2,2,No Change
Ashby,01431,3215,1,3,SES gives higher priority
Cheshire,01225,3172,2,3,SES gives higher priority
Sheffield,01222,3170,1,2,SES gives higher priority
Sheffield,01257,3170,1,2,SES gives higher priority
Cummington,01026,3147,2,2,No Change
Plainfield,01070,3147,2,2,No Change
Worthington,01098,3147,2,2,No Change
Middlefield,01243,3147,2,2,No Change
Back Bay Downtown,02199,3145,2,1,Overall gives higher priority
Berlin,01503,3144,1,1,No Change
Chatham,02659,3078,1,1,No Change
NA,02669,3078,1,1,No Change
Chatham,02650,3077,2,2,No Change
Lanesborough,01224,3000,2,3,SES gives higher priority
Northfield,01360,2997,2,2,No Change
Provincetown,02657,2960,3,3,No Change
Plympton,02367,2945,1,2,SES gives higher priority
Dennis,02641,2891,2,2,No Change
NA,01086,2842,1,1,No Change
NA,02643,2777,1,1,No Change
Westport,02791,2677,1,2,SES gives higher priority
NA,02651,2462,1,3,SES gives higher priority
Becket,01223,2402,2,3,SES gives higher priority
Otis,01029,2392,3,3,No Change
Otis,01253,2392,3,3,No Change
Sandisfield,01255,2392,3,3,No Change
Palmer,01009,2376,2,2,No Change
NA,01079,2376,2,2,No Change
Northampton,01063,2371,2,3,SES gives higher priority
East Brookfield,01515,2159,2,2,No Change
Mount Washington,01258,1965,1,1,No Change
NA,01229,1960,2,3,SES gives higher priority
Stockbridge,01262,1960,2,3,SES gives higher priority
Oakham,01068,1840,1,2,SES gives higher priority
Dennis,02670,1759,1,2,SES gives higher priority
Windsor,01270,1714,1,2,SES gives higher priority
Savoy,01256,1504,3,3,No Change
Florida,01343,1504,3,3,No Change
Chesterfield,01012,1355,1,3,SES gives higher priority
Chesterfield,01084,1355,1,3,SES gives higher priority
NA,01244,1312,2,2,No Change
New Marlborough,01259,1312,2,2,No Change
Truro,02652,1254,2,3,SES gives higher priority
Truro,02666,1254,2,3,SES gives higher priority
Tyringham,01264,1205,1,2,SES gives higher priority
Nantucket,02564,1116,1,1,No Change
NA,02584,1116,1,1,No Change
